Plane	Strip	Shift	Resolution
11	34	275.308	0.166434
11	35	275.328	0.185092
11	36	275.195	0.170661
11	37	275.258	0.171543
11	38	275.271	0.171139
11	39	275.438	0.200926
11	40	275.439	0.182242
11	41	275.355	0.18029
11	42	275.292	0.168915
11	43	275.326	0.157846
11	44	275.464	0.170852
11	45	275.349	0.166008
11	46	275.416	0.165039
11	47	275.591	0.184944
12	0	272.002	0.198665
12	1	272.09	0.197584
12	2	271.759	0.187234
12	3	271.7	0.194187
12	4	271.732	0.179931
12	5	271.639	0.183423
12	6	271.818	0.172336
12	7	271.741	0.189391
12	8	271.776	0.188879
12	9	270.501	0.18834
12	10	271.522	0.168154
12	11	271.546	0.179177
12	12	271.562	0.187151
12	13	271.58	0.188413
12	14	271.504	0.16792
12	15	271.679	0.16561
12	16	271.784	0.194218
12	17	271.653	0.184736
12	18	271.792	0.185617
12	19	271.66	0.189086
12	20	271.791	0.200561
12	21	271.667	0.193431
12	22	271.768	0.192465
12	23	271.828	0.181332
12	24	271.5	0.1846
12	25	271.578	0.186745
12	26	271.312	0.185685
12	27	271.194	0.185221
12	28	271.328	0.192095
12	29	271.283	0.191359
12	30	271.377	0.183095
12	31	271.256	0.177881
12	32	272.384	0.0297389
12	33	271.213	0.180552
12	34	271.133	0.187091
12	35	271.116	0.172248
12	36	271.196	0.181687
12	37	271.106	0.171968
12	38	271.138	0.172719
12	39	271.154	0.17032
12	40	-1	-1
12	41	271.275	0.159038
12	42	271.375	0.178706
12	43	271.267	0.160393
12	44	271.424	0.173455
12	45	271.383	0.165874
12	46	271.455	0.177163
12	47	271.703	0.197034
13	0	271.924	0.174068
13	1	271.893	0.193082
13	2	271.747	0.18467
13	3	271.683	0.189028
13	4	271.69	0.188026
13	5	271.675	0.19381
13	6	271.814	0.187347
13	7	271.772	0.207587
13	8	271.927	0.179293
13	9	271.769	0.183216
13	10	271.705	0.186764
13	11	271.695	0.181693
13	12	271.683	0.188512
13	13	271.818	0.194704
13	14	271.922	0.186845
13	15	271.823	0.193069
13	16	272.04	0.180903
13	17	271.964	0.174793
13	18	271.9	0.18474
13	19	271.954	0.179813
13	20	272.182	0.194958
13	21	271.915	0.188137
13	22	272.085	0.183838
13	23	272.211	0.189353
13	24	272.224	0.183021
13	25	272.159	0.177199
13	26	271.917	0.177484
13	27	271.93	0.173556
13	28	272.038	0.157327
13	29	271.851	0.18126
13	30	272.14	0.181206
13	31	272.069	0.174686
13	32	272.006	0.168326
13	33	271.975	0.174371
13	34	273.54	0.0575999
13	35	271.828	0.186563
13	36	271.764	0.170193
13	37	271.8	0.178611
13	38	271.922	0.174932
13	39	271.832	0.186651
13	40	272.112	0.192106
13	41	272.037	0.178429
13	42	272.006	0.192625
13	43	272.039	0.182321
13	44	272.124	0.170727
13	45	271.936	0.179943
13	46	272.148	0.189732
13	47	272.249	0.172403
14	0	272.612	0.203064
14	1	272.548	0.191582
14	2	272.429	0.195306
14	3	272.267	0.171583
14	4	272.323	0.189483
14	5	272.366	0.158036
14	6	272.499	0.194281
14	7	272.335	0.176214
14	8	272.559	0.17956
14	9	272.274	0.18029
14	10	272.104	0.180005
14	11	272.327	0.180443
14	12	272.309	0.18616
14	13	272.19	0.194548
14	14	272.266	0.189245
14	15	272.393	0.196884
14	16	272.412	0.175744
14	17	272.36	0.18517
14	18	272.498	0.177579
14	19	272.314	0.196859
14	20	272.459	0.176009
14	21	272.468	0.193184
14	22	272.419	0.19179
14	23	272.621	0.196713
14	24	272.36	0.190819
14	25	272.415	0.192978
14	26	272.122	0.186804
14	27	272.094	0.186672
14	28	272.212	0.18404
14	29	272.065	0.186414
14	30	272.242	0.172709
14	31	272.214	0.187264
14	32	272.282	0.171779
14	33	272.158	0.173066
14	34	272.182	0.185923
14	35	272.124	0.180146
14	36	272.085	0.165796
14	37	272.134	0.174076
14	38	272.066	0.177401
14	39	272.092	0.173604
14	40	272.329	0.191978
14	41	272.25	0.19293
14	42	272.274	0.177454
14	43	272.156	0.175158
14	44	272.297	0.184662
14	45	272.246	0.184183
14	46	272.306	0.195396
14	47	272.532	0.198504
15	0	-1	-1
15	1	-1	-1
15	2	-1	-1
15	3	-1	-1
15	4	-1	-1
15	5	-1	-1
15	6	-1	-1
15	7	-1	-1
15	8	-1	-1
15	9	-1	-1
15	10	-1	-1
15	11	-1	-1
15	12	-1	-1
15	13	-1	-1
15	14	-1	-1
15	15	-1	-1
15	16	-1	-1
15	17	-1	-1
15	18	-1	-1
15	19	-1	-1
15	20	-1	-1
15	21	-1	-1
15	22	-1	-1
15	23	-1	-1
15	24	-1	-1
15	25	-1	-1
15	26	-1	-1
15	27	-1	-1
15	28	-1	-1
15	29	-1	-1
15	30	-1	-1
15	31	-1	-1
15	32	-1	-1
15	33	-1	-1
15	34	-1	-1
15	35	-1	-1
15	36	-1	-1
15	37	-1	-1
15	38	-1	-1
15	39	-1	-1
15	40	-1	-1
15	41	-1	-1
15	42	-1	-1
15	43	-1	-1
15	44	-1	-1
15	45	-1	-1
15	46	-1	-1
15	47	-1	-1
16	0	276.822	0.410963
16	1	276.401	0.160561
16	2	276.293	0.15251
16	3	276.401	0.149728
16	4	276.298	0.153496
16	5	276.405	0.154194
16	6	276.305	0.146038
16	7	-1	-1
16	8	276.308	0.172003
16	9	-1	-1
16	10	276.094	0.153647
16	11	276.147	0.159708
16	12	276.254	0.158708
16	13	276.279	0.162097
16	14	276.295	0.15259
16	15	276.438	0.17778
16	16	276.315	0.147409
16	17	276.512	0.164901
16	18	276.135	0.16298
16	19	276.343	0.148517
16	20	276.145	0.168042
16	21	276.123	0.1621
16	22	276.562	0.260956
16	23	276.391	0.166563
16	24	276.124	0.159467
16	25	276.039	0.157525
16	26	275.933	0.165614
16	27	276.12	0.148652
16	28	275.974	0.146519
16	29	275.951	0.147622
16	30	277.483	0.000656448
16	31	276.139	0.160401
16	32	276.067	0.165551
16	33	275.845	0.157693
16	34	275.826	0.153884
16	35	275.835	0.178124
16	36	275.901	0.167639
16	37	275.845	0.157687
16	38	275.981	0.184818
16	39	276.112	0.168168
16	40	275.944	0.176942
16	41	276.074	0.16239
16	42	275.825	0.180107
16	43	275.84	0.186982
16	44	275.779	0.17984
16	45	275.835	0.193914
16	46	276.052	0.17249
16	47	276.206	0.224894
17	0	271.799	0.198402
17	1	271.549	0.167818
17	2	271.438	0.183263
17	3	271.549	0.157934
17	4	271.4	0.13914
17	5	271.575	0.15827
17	6	271.51	0.151973
17	7	271.619	0.166167
17	8	271.488	0.174223
17	9	271.426	0.172675
17	10	271.348	0.156127
17	11	271.256	0.159681
17	12	271.292	0.164679
17	13	271.168	0.146561
17	14	271.21	0.15791
17	15	271.542	0.16317
17	16	271.138	0.162863
17	17	271.198	0.154949
17	18	271.224	0.155323
17	19	271.188	0.176239
17	20	271.081	0.157582
17	21	271.128	0.160188
17	22	271.324	0.153382
17	23	271.281	0.16104
17	24	271.551	0.155409
17	25	271.42	0.168461
17	26	271.479	0.167411
17	27	271.417	0.16673
17	28	271.354	0.170944
17	29	271.462	0.163683
17	30	271.302	0.162398
17	31	271.486	0.167277
17	32	271.432	0.167543
17	33	272.025	0.247557
17	34	271.225	0.155093
17	35	271.361	0.15897
17	36	271.347	0.15811
17	37	271.511	0.181848
17	38	271.582	0.153923
17	39	271.565	0.164395
17	40	269.521	0.0969831
17	41	271.665	0.175368
17	42	271.386	0.162395
17	43	271.566	0.17065
17	44	271.493	0.187742
17	45	271.457	0.181303
17	46	271.716	0.152941
17	47	271.746	0.192099
18	0	-1	-1
18	1	-1	-1
18	2	-1	-1
18	3	-1	-1
18	4	-1	-1
18	5	-1	-1
18	6	-1	-1
18	7	-1	-1
18	8	-1	-1
18	9	-1	-1
18	10	-1	-1
18	11	-1	-1
18	12	-1	-1
18	13	-1	-1
18	14	-1	-1
18	15	-1	-1
18	16	-1	-1
18	17	-1	-1
18	18	-1	-1
18	19	-1	-1
18	20	-1	-1
18	21	-1	-1
18	22	-1	-1
18	23	-1	-1
18	24	-1	-1
18	25	-1	-1
18	26	-1	-1
18	27	-1	-1
18	28	-1	-1
18	29	-1	-1
18	30	-1	-1
18	31	-1	-1
18	32	-1	-1
18	33	-1	-1
18	34	-1	-1
18	35	-1	-1
18	36	-1	-1
18	37	-1	-1
18	38	-1	-1
18	39	-1	-1
18	40	-1	-1
18	41	-1	-1
18	42	-1	-1
18	43	-1	-1
18	44	-1	-1
18	45	-1	-1
18	46	-1	-1
18	47	-1	-1
19	0	271.561	0.220116
19	1	271.23	0.154225
19	2	271.208	0.162677
19	3	271.415	0.167562
19	4	271.212	0.175021
19	5	271.282	0.172867
19	6	271.184	0.152137
19	7	271.306	0.157008
19	8	270.982	0.138435
19	9	270.995	0.154859
19	10	271.02	0.164978
19	11	270.952	0.152312
19	12	270.981	0.158715
19	13	271.066	0.16369
19	14	271.129	0.160563
19	15	271.189	0.164608
19	16	271.158	0.146214
19	17	271.386	0.15851
19	18	271.001	0.147439
19	19	271.18	0.158929
19	20	271.043	0.163563
19	21	271.083	0.170652
19	22	271.348	0.163417
19	23	271.36	0.167915
19	24	270.993	0.148855
19	25	270.831	0.158956
19	26	270.8	0.149421
19	27	270.883	0.147257
19	28	270.725	0.175042
19	29	270.83	0.161966
19	30	270.791	0.164911
19	31	270.902	0.158921
19	32	270.703	0.163584
19	33	270.583	0.161464
19	34	270.553	0.160339
19	35	270.558	0.165521
19	36	270.532	0.166977
19	37	270.562	0.180094
19	38	270.669	0.172425
19	39	270.866	0.211317
19	40	270.625	0.156568
19	41	270.826	0.169182
19	42	270.584	0.161639
19	43	270.687	0.172378
19	44	270.599	0.168909
19	45	270.724	0.19854
19	46	270.919	0.1811
19	47	270.904	0.160776
