Plane	Strip	Shift
14	40	-12.8625
14	41	-12.9875
14	42	-12.8875
14	43	-13.0375
14	44	-12.8125
14	45	-13.0375
14	46	-13.1625
14	47	-12.9375
15	0	0.7625
15	1	2.5125
15	2	48.1875
15	3	8.9125
15	4	-6.6875
15	5	4.4375
15	6	2.0875
15	7	3.9875
15	8	-7.9875
15	9	-10.2625
15	10	-9.2875
15	11	48.1875
15	12	4.4625
15	13	-10.4125
15	14	11.4875
15	15	0.3375
15	16	-0.7875
15	17	-0.5125
15	18	-5.0125
15	19	4.5625
15	20	4.0625
15	21	14.3875
15	22	13.3125
15	23	11.4875
15	24	14.0375
15	25	-10.8625
15	26	4.6125
15	27	-4.3625
15	28	4.6375
15	29	5.1125
15	30	-10.4375
15	31	3.7375
15	32	-6.9125
15	33	-7.4875
15	34	-8.1875
15	35	-10.4375
15	36	9.0375
15	37	14.5375
15	38	-7.9625
15	39	-9.4375
15	40	-0.2625
15	41	-11.5125
15	42	-4.1875
15	43	-38.8375
15	44	-6.4625
15	45	7.3875
15	46	7.9875
15	47	2.6375
16	0	-0.4125
16	1	-0.4625
16	2	-0.2125
16	3	0.0375
16	4	-0.2125
16	5	0.1875
16	6	-0.2375
16	7	48.1875
16	8	-0.1375
16	9	48.1875
16	10	-0.3375
16	11	-0.1375
16	12	-0.0375
16	13	-0.0125
16	14	0.0375
16	15	0.2625
16	16	0.0125
16	17	0.3375
16	18	-0.2375
16	19	0.1875
16	20	-0.1875
16	21	-0.3125
16	22	-0.0375
16	23	-0.2625
16	24	-0.2125
16	25	-0.3125
16	26	-0.0625
16	27	0.0125
16	28	-0.1625
16	29	0.0125
16	30	-0.2375
16	31	-0.0625
16	32	-0.0625
16	33	-0.2125
16	34	-0.0875
16	35	-0.1125
16	36	0.0625
16	37	0.1375
16	38	0.1625
16	39	0.1875
16	40	-0.1875
16	41	0.0125
16	42	-0.1875
16	43	-0.1625
16	44	-0.3375
16	45	-0.1625
16	46	0.0125
16	47	-0.1125
17	0	-4.3875
17	1	-4.4125
17	2	-4.3875
17	3	-4.2375
17	4	-4.4125
17	5	-4.1875
17	6	-4.3625
17	7	-4.1625
17	8	-4.3375
17	9	-4.3125
17	10	-4.3125
17	11	-4.2875
17	12	-4.2875
17	13	-4.4625
17	14	-4.5125
17	15	-4.1625
17	16	-4.6875
17	17	-4.5625
17	18	-4.5625
17	19	-4.5875
17	20	-4.7625
17	21	-4.7125
17	22	-4.5375
17	23	-4.7875
17	24	-3.9875
17	25	-4.2125
17	26	-4.0625
17	27	-3.9625
17	28	-4.1375
17	29	-4.0625
17	30	-4.3625
17	31	-4.1125
17	32	-4.3375
17	33	-4.1125
17	34	-4.2125
17	35	-4.1875
17	36	-4.1375
17	37	-3.8125
17	38	-3.7625
17	39	-4.1375
17	40	-3.9625
17	41	-3.8875
17	42	-4.2875
17	43	-3.9625
17	44	-4.0625
17	45	-4.1375
17	46	-3.7625
17	47	-3.9375
18	0	-12.9125
18	1	-13.1625
18	2	-12.8625
18	3	-12.7875
18	4	-12.9875
18	5	-8.4625
18	6	-13.1125
18	7	-12.7125
18	8	-12.6625
18	9	-12.9125
18	10	-12.9625
18	11	-12.5375
18	12	-12.7125
18	13	-12.8625
18	14	-12.7875
18	15	-12.7125
18	16	-13.4125
18	17	-13.7375
18	18	-18.0375
18	19	-12.9375
18	20	-12.7375
18	21	0.5125
18	22	-11.9375
18	23	-0.4875
18	24	-12.3875
18	25	-12.6375
18	26	33.3375
18	27	-4.3625
18	28	-1.6375
18	29	-7.3375
18	30	-8.3875
18	31	-1.2875
18	32	-0.8625
18	33	-1.9875
18	34	-23.4625
18	35	-2.9875
18	36	-24.0625
18	37	-4.6625
18	38	-23.7125
18	39	-12.5375
18	40	-13.5375
18	41	-13.6875
18	42	-17.6875
18	43	-1.7875
18	44	17.4625
18	45	-12.7875
18	46	-12.6625
18	47	-12.9625
19	0	-12.7625
19	1	-12.9125
19	2	-12.7375
19	3	-12.5625
19	4	-12.8125
19	5	-12.6125
19	6	-12.9125
19	7	-12.6875
19	8	-13.0875
19	9	-12.9625
19	10	-12.8875
19	11	-12.8875
19	12	-12.6875
19	13	-12.9125
19	14	-12.8875
19	15	-12.5875
19	16	-13.0625
19	17	-12.8125
19	18	-13.0375
19	19	-12.9625
19	20	-13.2375
19	21	-12.7625
19	22	-12.8375
19	23	-12.9375
19	24	-13.0125
19	25	-13.2125
19	26	-12.9125
19	27	-12.9375
19	28	-13.0875
19	29	-12.7875
19	30	-13.1875
19	31	-12.9625
19	32	-13.1125
19	33	-13.2625
19	34	-13.1875
19	35	-13.1875
19	36	-13.0625
19	37	-13.1125
19	38	-13.0375
19	39	-12.8875
19	40	-13.2125
19	41	-12.9375
19	42	-13.1375
19	43	-13.0875
19	44	-13.2625
19	45	-13.0125
19	46	-12.8375
19	47	-13.0625
